# EvtID pe_px[MeV/c] pe_py[MeV/c] pe_pz[MeV/c] prec_px[MeV/c] prec_py[MeV/c] prec_pz[MeV/c] pidrec zvtx[cm] weight
12221 -2.6821542824e+02 -1.0710846240e+03 4.8836446718e+03 7.0679105417e+01 -1.4246455413e+00 -4.1134025793e+02 2212 -2.3212843046e+00 7.9384458090e-02
12424 -2.0145451333e+02 -1.2003318529e+03 4.6496830592e+03 2.3980447915e+02 3.3050157135e+01 -1.9198382132e+02 2212 -1.2202401734e+00 2.0860126160e+00
12635 -6.5549720273e+01 -1.2159325711e+03 4.7811950754e+03 2.8001482992e+02 -6.6526613461e+01 -1.7285090212e+02 2212 -3.6105092901e+00 1.6273731673e+00
13321 -4.7115017664e+01 -9.9237542246e+02 3.9875290361e+03 2.5933912595e+02 6.1794409958e+01 -2.0487248535e+02 2212 -1.7635292229e+00 3.1761901883e+00
13529 -2.6498458649e+02 -9.1055194887e+02 3.7970346572e+03 2.8782340478e+02 6.1178260938e+01 -2.1935033627e+02 2212 -4.4997598901e+00 2.4064910315e+00
13783 6.1232214773e+01 -9.0495819237e+02 4.2261228399e+03 4.5019341507e+02 -1.1300643601e+02 -1.8771406452e+02 2212 -2.1173797217e+00 1.1983774188e+00
13995 -2.2823154529e+02 -1.0486614264e+03 4.9188455828e+03 1.4653284927e+02 4.9271303913e+01 -4.6221526634e+02 2212 -2.5959093014e+00 6.6714547034e-03
14470 -2.7913960101e+02 -1.0911553741e+03 4.8753173914e+03 5.0823897573e+02 -9.5558583227e+01 -5.7769797967e+01 2212 -1.8271597773e+00 1.3896928759e+00
14517 -8.5292395473e+01 -1.0339228430e+03 4.8229291282e+03 3.1441362071e+02 1.0316275808e+02 -3.5664864140e+02 2212 -5.4807003373e+00 1.6108056744e-01
14638 -9.0106461640e+01 -9.2995146956e+02 4.3524669075e+03 1.9466630931e+02 1.9070304364e+01 -2.1295690736e+02 2212 -5.0079222578e+00 8.7942596291e+00
15581 -3.9437316888e+01 -1.0180809715e+03 4.6905364590e+03 2.2523564250e+02 1.7371821877e+01 -3.7422264953e+02 2212 -7.5350227836e-01 2.0483439319e-01
16425 -2.3809832774e+02 -1.1254870296e+03 4.7997485481e+03 4.9688156244e+01 6.1708909336e-01 -4.5776724191e+02 2212 -3.6651816890e+00 9.2693572247e-03
16486 2.6071342889e+02 -1.0253018138e+03 4.1622336011e+03 2.2305357655e+02 4.1760173121e+01 -4.1859447843e+02 2212 -2.0487169311e+00 1.8263075474e-02
18210 1.9232630173e+02 -1.0630920426e+03 4.6598834724e+03 4.7285389183e+02 8.8151004993e+01 -2.1670144274e+02 2212 -5.2295376169e+00 3.4443294588e-01
19250 5.9842843714e+01 -8.8718692955e+02 4.1997230906e+03 2.2737015974e+02 -5.0368346036e+01 -7.3287873310e+01 2212 -1.5315074492e+00 5.0479808851e+01
19308 1.1739649831e+02 -1.0938404662e+03 4.2531915091e+03 1.8944756135e+02 -2.0398707500e+00 -3.9449821023e+02 2212 -5.0428474492e+00 5.1765445270e-02
19347 -2.8404299418e+02 -1.0291754061e+03 4.3788038482e+03 1.9166071826e+02 -4.2724074981e+00 -4.4836675634e+02 2212 -2.8257469432e+00 6.2570570765e-03
20205 2.1179932598e+02 -8.9444924601e+02 4.0731540534e+03 3.2538231021e+02 -4.3887233819e+00 -3.7396856355e+02 2212 -6.7329848139e-01 8.4106482816e-02
21073 -4.8452640868e+01 -1.1938135869e+03 4.8540069219e+03 1.9513415850e+02 4.9567197364e+01 -4.5128320280e+02 2212 -7.1704863291e-01 6.1483675961e-04
21096 5.6276615667e+01 -1.0816338023e+03 4.8437791095e+03 4.3586585964e+02 -8.5872124887e+01 -3.1009774004e+02 2212 -3.3450218355e+00 6.2230178220e-02
21215 -2.7992721142e+01 -8.9490990378e+02 3.9554113043e+03 2.1523103433e+02 -7.3324236895e+01 -1.1553425675e+02 2212 -3.2216043044e+00 2.7721093518e+01
21756 1.1424869405e+02 -1.0601802810e+03 4.4465135474e+03 2.3054902852e+01 2.0701087315e+00 -8.9405223197e+01 2212 -2.7400481335e+00 9.5804696990e+02
21814 -1.2437197144e+02 -1.0982746271e+03 4.7213614508e+03 1.1513568600e+02 -4.1608581165e+01 -4.5598975227e+02 2212 -1.0587285466e+00 4.6200933973e-03
21944 2.0242329452e+02 -8.6416549193e+02 4.0606618233e+03 4.4506404382e+02 -2.7608578037e+01 -2.8799891902e+02 2212 -3.9298201825e+00 2.6034207687e-01
22578 -9.2287815098e+01 -1.0741116599e+03 4.2938241677e+03 3.3527147149e+02 1.1387262142e+02 -3.6467999767e+02 2212 -4.1490455293e+00 6.3821920709e-02
23479 3.1360045768e+01 -1.1921415307e+03 4.4870372057e+03 6.2035273051e+02 -3.0169860905e+01 -3.2484368197e+01 2212 -1.2266366051e+00 3.2335965693e-01
23515 -1.2612662923e+02 -1.0908048131e+03 4.3009810094e+03 3.1382773141e+02 -4.5661627863e+01 -1.6441440491e+02 2212 -4.9719164632e+00 2.2478748216e+00
24508 1.6435195215e+02 -9.9593110264e+02 4.1191752369e+03 1.3706555811e+02 -8.8050103566e+00 -3.8597785760e+02 2212 -3.5742990214e+00 1.5697855730e-01
24539 9.3344445084e+01 -1.0309806445e+03 4.7557585991e+03 4.0864679467e+02 8.6022003081e+01 -1.2469094625e+02 2212 -2.4777095411e+00 2.7619633398e+00
24885 5.3082869638e+01 -1.1937685971e+03 4.7956629058e+03 2.0484977692e+02 2.8063061989e+01 -4.0765084993e+02 2212 -1.1465984217e+00 1.6532780697e-02
24983 -2.1379542609e+02 -1.0010782803e+03 4.2110496909e+03 2.1384599330e+02 1.3791501420e+01 -4.0321798106e+02 2212 -3.7514110289e+00 7.7236345213e-02
25407 -2.0955077833e+02 -9.6909296462e+02 4.2671637289e+03 4.1946072471e+02 7.6874974637e+01 -2.3947315194e+02 2212 -3.5408246769e+00 6.8431638621e-01
25871 -1.8486625034e+01 -1.2229647273e+03 4.8241724929e+03 3.5131109425e+02 1.0428881969e+02 -2.7025830888e+02 2212 -1.7097105884e+00 2.0098342014e-01
25910 -1.3054674117e+02 -1.0003709410e+03 4.3446918992e+03 2.5748871730e+02 -5.8479295253e+01 -4.1305506851e+02 2212 -3.8311199851e+00 2.4619245500e-02
26119 2.2158862052e+01 -9.0891694847e+02 4.1657011693e+03 8.5951564571e+01 2.1902842543e+01 -4.2439232015e+02 2212 -3.5414868728e+00 1.1959191766e-01
26418 -2.5631673386e+02 -1.1322753521e+03 4.4688529528e+03 1.8343637058e+02 6.0244395715e+00 -2.1465330778e+02 2212 -1.8462231983e+00 3.0824362706e+00
26447 4.1658369939e+01 -9.5697327418e+02 3.9703235740e+03 2.3724037707e+02 -5.4206675360e+01 -3.5649795114e+02 2212 -4.0284994275e+00 2.3914266513e-01
26452 2.1264325447e+02 -1.0167303251e+03 4.7563264609e+03 8.2473183204e+01 2.3646220692e+01 -4.2464169996e+02 2212 -1.8649268728e+00 6.8535602581e-02
27191 4.4306181485e+01 -1.1728340091e+03 4.6913035961e+03 5.4550544211e+02 7.3793453944e+01 -1.7608918318e+02 2212 -2.7311328491e+00 1.7130982274e-01
27201 -2.5400743232e+02 -9.5259937213e+02 4.1352475273e+03 6.1773242975e+02 -1.4056289611e+01 -1.4503961608e+02 2212 -2.6473329805e+00 3.0683072632e-01
27612 1.9871620855e+02 -9.6000683632e+02 4.0945970213e+03 2.1760377470e+02 -1.4268028255e+01 -3.2509683988e+02 2212 -5.4249581934e+00 5.8142779861e-01
27889 1.8732836916e+02 -9.1877274598e+02 3.9788657473e+03 4.1466737749e+02 1.4332729392e+02 -3.2990602804e+01 2212 -6.6071616439e-01 4.5622838162e+00
28315 -2.6949331800e+02 -1.0313578263e+03 4.4577956263e+03 2.2297246682e+02 -3.6246634166e+01 -4.2322552209e+02 2212 -2.9696122075e+00 2.2686712790e-02
28564 -1.2694515336e+01 -1.0037504445e+03 3.9820668382e+03 1.8263657261e+02 2.9090044963e+01 -4.0062820492e+02 2212 -5.2783140151e+00 8.0973971594e-02
28566 2.7469504864e+02 -1.0252933310e+03 4.1821047714e+03 4.0404996154e+02 1.0273024907e+02 -2.7260317147e+02 2212 -2.4597233436e+00 2.0554439007e-01
28708 -2.1014595163e+02 -9.1998203406e+02 3.9011501606e+03 1.5612416689e+02 8.3876340648e+00 -4.0692886456e+02 2212 -1.5444269446e+00 1.1471296751e-01
29316 -2.0610149385e+02 -9.3310625151e+02 3.8110157322e+03 2.7132631381e+02 -2.3096774745e+01 -3.9237268110e+02 2212 -3.2102186973e+00 6.4677549344e-02
29645 2.1304940576e+02 -9.6924501518e+02 4.0515900408e+03 2.8420020610e+02 1.4542229765e+01 -3.8894005296e+02 2212 -2.6045691520e+00 5.7669290245e-02
30576 -8.7688353435e+01 -8.2262893132e+02 3.7871548467e+03 4.2446583314e+02 4.0232922554e+01 -1.5114678870e+02 2212 -4.5942706342e+00 3.1735216197e+00
30852 2.2490141274e+02 -1.0998555669e+03 4.4463762318e+03 3.3851679120e+02 1.0837240517e+01 -3.5581180247e+02 2212 -3.9227817901e+00 3.7560013726e-02
31765 -2.7365029375e+02 -1.1155956016e+03 4.4919551147e+03 1.4200633223e+02 -1.7176168057e+01 -3.0566802401e+02 2212 -4.9502940995e+00 5.9542158699e-01
32439 1.2812895906e+02 -1.0088844331e+03 4.6355799817e+03 2.2726287825e+02 2.7930646024e+01 -4.2935740043e+02 2212 -3.1715388591e+00 2.3300088653e-02
32626 1.3753555533e+02 -9.1565728305e+02 3.9654692540e+03 5.9232971316e+02 -8.0819426270e+01 -1.1221721178e+02 2212 -4.8395565369e+00 5.5934843794e-01
32896 -5.0116619633e+01 -9.5831674674e+02 4.2962946514e+03 1.0798046441e+02 -2.9172056102e+01 -2.2805352403e+02 2212 -2.1930867673e+00 1.1279646369e+01
32925 -2.3444493640e+02 -1.2011967231e+03 4.6924843465e+03 4.2878882210e+02 -9.9972997005e+01 -1.7644043388e+02 2212 -1.4256267792e+00 3.6252989098e-01
33450 2.7261011156e+01 -9.9730527447e+02 4.3660044010e+03 3.9786060556e+02 -1.4018719174e+02 -2.7691221731e+02 2212 -9.6445987769e-01 2.4733333339e-01
33643 -6.1602657705e+01 -9.6893120916e+02 4.3047894148e+03 3.2582838198e+02 3.0710653866e+01 -3.0789332321e+02 2212 -3.6330158643e+00 5.1414845632e-01
34299 2.0122709146e+02 -1.0518891976e+03 4.2966544615e+03 2.4571214957e+02 6.1644348060e+01 -3.2703910360e+02 2212 -1.0822508177e+00 2.9154790909e-01
34354 1.1678078125e+01 -1.0427018911e+03 4.4624723532e+03 3.3699476712e+02 -5.4000154708e+01 -3.2643436374e+02 2212 -4.6986970068e+00 1.6536497692e-01
34658 2.3361553397e+02 -8.9273860409e+02 3.9488605272e+03 2.5011296156e+02 5.1798100818e+01 -3.0730875163e+02 2212 -2.6669314534e+00 9.0266442426e-01
34740 -1.4287504017e+01 -9.6874762234e+02 3.8091865270e+03 5.7160572404e+02 -1.9149442453e+02 -8.3555496530e+01 2212 -4.0280469398e+00 5.1525486816e-01
34984 -1.8052916291e+02 -9.7519510583e+02 4.5740093386e+03 8.5764290190e+01 2.0855835484e+01 -1.8102164152e+02 2212 -1.7885792216e+00 5.1378134737e+01
35134 -1.4770792012e+02 -8.3488878487e+02 3.8610812529e+03 2.8728984121e+02 8.5059048563e+01 -3.3669743432e+02 2212 -5.3310255166e+00 6.0045074284e-01
35497 4.2922567271e+01 -1.0672779796e+03 4.8237550589e+03 3.1685574827e+02 1.8222971207e+00 -3.3497530355e+02 2212 -2.8917256773e+00 2.0084177356e-01
35791 1.6339522250e+02 -1.1083017992e+03 4.7085237442e+03 2.7422397482e+02 -9.5770754601e+00 -1.4946232790e+02 2212 -8.3935068757e-01 4.5276737573e+00
36043 1.5380495351e+02 -1.0675225615e+03 4.6384296111e+03 4.3607590046e+02 8.7411139003e+01 -3.9250138651e+01 2212 -8.3565802383e-01 3.1718591483e+00
36367 1.6084652874e+02 -9.9053840185e+02 4.2515226426e+03 4.3889213255e+02 1.0378651752e+02 -1.0375249212e+02 2212 -3.4802754032e+00 2.2586231337e+00
36877 6.9913359047e+01 -1.0432439338e+03 4.6956314612e+03 5.0227738495e+02 -1.5044595931e+02 -2.1419051996e+02 2212 -4.1277681519e+00 2.0168211673e-01
37207 -1.8788622417e+02 -9.7376531579e+02 3.9993929920e+03 1.9972023136e+02 -2.1285932491e+01 -4.3333448353e+02 2212 -3.1831399987e+00 1.8311891827e-02
38622 1.2254369800e+02 -1.1565321505e+03 4.7974138959e+03 2.4635796606e+02 5.6589277485e+01 -4.2679047173e+02 2212 -5.1924461336e-01 8.8493616322e-03
38732 -6.0317103710e+01 -9.8834087080e+02 4.5798205278e+03 5.6711192658e+02 3.6774975098e+01 -1.5673210249e+02 2212 -1.5962651356e+00 5.5833897153e-01
39350 -1.2793793454e+02 -1.0037876402e+03 4.3759464293e+03 5.0642621310e+02 1.4332442815e+01 -2.7560710947e+02 2212 -3.0151469733e+00 1.1584582730e-01
40472 8.6945713530e+01 -1.0605180531e+03 4.7466029771e+03 3.7759061116e+02 1.9212862189e+01 -1.6717381308e+02 2212 -2.7321546741e+00 1.9926242190e+00
40874 -5.6281450387e+01 -1.0232302075e+03 4.0871950745e+03 4.0798510603e+02 1.4006385390e+02 -1.4136580949e+02 2212 -4.7279883102e+00 1.6078408805e+00
41706 -2.5542690892e+02 -1.2430212502e+03 4.9113670358e+03 1.9005901570e+02 8.5727404571e+00 -8.6721502743e+01 2212 -7.8036323260e-01 2.3727921486e+01
